Date,Label,Orientation,Bud type,Diameter,centrale_present
2024-04-29,9,east,pluriennial,14.2,x
2024-04-29,9,east,pluriennial,11.8,x
2024-04-29,9,east,pluriennial,12.6,x
2024-04-29,9,east,pluriennial,8.8,x
2024-04-29,10,east,apical annual,10.6,
2024-04-29,10,east,apical annual,10.4,
2024-04-29,10,east,apical annual,9.5,
2024-04-29,10,east,apical annual,10.5,
2024-04-29,11,east,lateral annual,9.4,x
2024-04-29,11,east,lateral annual,11,x
2024-04-29,11,east,lateral annual,10.6,x
2024-04-29,11,east,lateral annual,10.1,x
2024-04-29,12,east,pluriennial,10.5,x
2024-04-29,12,east,pluriennial,12.5,x
2024-04-29,12,east,pluriennial,12,x
2024-04-29,12,east,pluriennial,11.5,x
2024-04-29,12,east,pluriennial,10.3,x
2024-04-29,13,east,apical annual,10.6,x
2024-04-29,13,east,apical annual,10.2,x
2024-04-29,13,east,apical annual,10.2,x
2024-04-29,13,east,apical annual,10.1,x
2024-04-29,13,east,apical annual,8.6,x
2024-04-29,13,east,apical annual,10.5,x
2024-04-29,14,east,lateral annual,7.5,x
2024-04-29,14,east,lateral annual,4.9,x
2024-04-29,14,east,lateral annual,6.4,x
2024-04-29,14,east,lateral annual,4.1,x
2024-04-29,15,east,pluriennial,10.5,x
2024-04-29,15,east,pluriennial,10.1,x
2024-04-29,15,east,pluriennial,8.2,x
2024-04-29,15,east,pluriennial,7.8,x
2024-04-29,15,east,pluriennial,9.5,x
2024-04-29,16,west,apical annual,12.7,x
2024-04-29,16,west,apical annual,12.5,x
2024-04-29,16,west,apical annual,12.4,x
2024-04-29,16,west,apical annual,10.4,x
2024-04-29,16,west,apical annual,13.4,x
2024-04-29,16,west,apical annual,11.4,x
2024-04-29,17,west,lateral annual,4.4,x
2024-04-29,17,west,lateral annual,5.1,x
2024-04-29,17,west,lateral annual,6.4,x
2024-04-29,18,west,pluriennial,11.6,x
2024-04-29,18,west,pluriennial,11.3,x
2024-04-29,18,west,pluriennial,11.9,x
2024-04-29,18,west,pluriennial,9.5,x
2024-04-29,18,west,pluriennial,6.6,x
2024-04-29,19,west,apical annual,13.2,
2024-04-29,19,west,apical annual,13.6,
2024-04-29,19,west,apical annual,13.1,
2024-04-29,19,west,apical annual,13.1,
2024-04-29,20,west,lateral annual,7.8,x
2024-04-29,20,west,lateral annual,7.4,x
2024-04-29,20,west,lateral annual,5.1,x
2024-04-29,20,west,lateral annual,5.9,x
2024-04-29,20,west,lateral annual,5.7,x
2024-04-29,21,west,pluriennial,13.8,x
2024-04-29,21,west,pluriennial,11.8,x
2024-04-29,21,west,pluriennial,11.2,x
2024-04-29,21,west,pluriennial,13.5,x
2024-04-29,21,west,pluriennial,12.3,x
2024-04-29,21,west,pluriennial,12.1,x
2024-04-29,22,west,apical annual,15.1,x
2024-04-29,22,west,apical annual,11.2,x
2024-04-29,22,west,apical annual,11.6,x
2024-04-29,22,west,apical annual,10.6,x
2024-04-29,22,west,apical annual,12,x
2024-04-29,23,west,lateral annual,5.8,x
2024-04-29,23,west,lateral annual,5.3,x
2024-04-29,23,west,lateral annual,4.9,x
2024-04-29,23,west,lateral annual,3.4,x
2024-04-29,23,west,lateral annual,4.4,x
2024-04-29,24,west,pluriennial,16.6,x
2024-04-29,24,west,pluriennial,16.7,x
2024-04-29,24,west,pluriennial,12.1,x
2024-04-29,24,west,pluriennial,10.9,x
2024-04-29,24,west,pluriennial,3.5,x
2024-04-29,25,west,apical annual,13.1,x
2024-04-29,25,west,apical annual,13.2,x
2024-04-29,25,west,apical annual,12.8,x
2024-04-29,25,west,apical annual,12.2,x
2024-04-29,25,west,apical annual,11.6,x
2024-04-29,25,west,apical annual,9.7,x
2024-04-29,26,west,lateral annual,8.2,x
2024-04-29,26,west,lateral annual,7.6,x
2024-04-29,26,west,lateral annual,7.8,x
2024-04-29,26,west,lateral annual,4.1,x
2024-04-29,26,west,lateral annual,7,x
2024-04-29,27,west,pluriennial,10.8,x
2024-04-29,27,west,pluriennial,11,x
2024-04-29,27,west,pluriennial,11.6,x
2024-04-29,27,west,pluriennial,11,x
2024-04-29,27,west,pluriennial,11.6,x
2024-04-29,27,west,pluriennial,9.6,x
2024-04-29,28,west,apical annual,15,x
2024-04-29,28,west,apical annual,12.6,x
2024-04-29,28,west,apical annual,11.6,x
2024-04-29,28,west,apical annual,11,x
2024-04-29,28,west,apical annual,12.5,x
2024-04-29,28,west,apical annual,9.5,x
2024-04-29,29,west,lateral annual,9,x
2024-04-29,29,west,lateral annual,6.8,x
2024-04-29,29,west,lateral annual,6.2,x
2024-04-29,29,west,lateral annual,5.6,x
2024-04-29,29,west,lateral annual,6.1,x
2024-04-29,30,west,pluriennial,12.2,x
2024-04-29,30,west,pluriennial,12.1,x
2024-04-29,30,west,pluriennial,11.3,x
2024-04-29,30,west,pluriennial,12.5,x
2024-04-29,30,west,pluriennial,11.6,x
2024-04-29,30,west,pluriennial,10.1,x
2024-04-29,101,west,pluriennial,10.7,
2024-04-29,101,west,pluriennial,11.8,
2024-04-29,101,west,pluriennial,11,
2024-04-29,101,west,pluriennial,13.1,
2024-04-29,101,west,pluriennial,11.3,
2024-04-29,102,west,pluriennial,9.8,
2024-04-29,102,west,pluriennial,9.2,
2024-04-29,102,west,pluriennial,9,
2024-04-29,102,west,pluriennial,9.8,
2024-04-29,102,west,pluriennial,8.3,
2024-04-29,103,west,pluriennial,11.7,
2024-04-29,103,west,pluriennial,10.4,
2024-04-29,103,west,pluriennial,10.5,
2024-04-29,103,west,pluriennial,9.6,
2024-04-29,103,west,pluriennial,10.5,
2024-04-29,104,west,pluriennial,14.1,
2024-04-29,104,west,pluriennial,12,
2024-04-29,104,west,pluriennial,12.6,
2024-04-29,104,west,pluriennial,12.1,
2024-04-29,104,west,pluriennial,12.5,
2024-04-29,105,west,pluriennial,10.4,
2024-04-29,105,west,pluriennial,10.3,
2024-04-29,105,west,pluriennial,8.5,
2024-04-29,105,west,pluriennial,9.7,
2024-04-29,105,west,pluriennial,11.5,
2024-05-06,1,east,apical annual,15.3,x
2024-05-06,1,east,apical annual,14.9,x
2024-05-06,1,east,apical annual,15.6,x
2024-05-06,1,east,apical annual,14.1,x
2024-05-06,1,east,apical annual,17.4,x
2024-05-06,1,east,apical annual,15.4,x
2024-05-06,2,east,lateral annual,10.5,x
2024-05-06,2,east,lateral annual,7.6,x
2024-05-06,2,east,lateral annual,7.9,x
2024-05-06,2,east,lateral annual,7.5,x
2024-05-06,2,east,lateral annual,5.5,x
2024-05-06,3,east,pluriennial,21.7,x
2024-05-06,3,east,pluriennial,18.1,x
2024-05-06,3,east,pluriennial,20,x
2024-05-06,3,east,pluriennial,16.3,x
2024-05-06,4,east,apical annual,11.1,
2024-05-06,4,east,apical annual,15,
2024-05-06,4,east,apical annual,14.1,
2024-05-06,5,east,lateral annual,13.1,x
2024-05-06,5,east,lateral annual,12.7,x
2024-05-06,5,east,lateral annual,10.6,x
2024-05-06,5,east,lateral annual,10.7,x
2024-05-06,5,east,lateral annual,10.7,x
2024-05-06,6,east,pluriennial,16.9,x
2024-05-06,6,east,pluriennial,9.5,x
2024-05-06,6,east,pluriennial,14.7,x
2024-05-06,6,east,pluriennial,13.4,x
2024-05-06,6,east,pluriennial,13.5,x
2024-05-06,7,east,apical annual,16.5,x
2024-05-06,7,east,apical annual,18.4,x
2024-05-06,7,east,apical annual,17.2,x
2024-05-06,7,east,apical annual,14.4,x
2024-05-06,7,east,apical annual,16.8,x
2024-05-06,7,east,apical annual,17.7,x
2024-05-06,8,east,lateral annual,12,x
2024-05-06,8,east,lateral annual,8.1,x
2024-05-06,8,east,lateral annual,4.4,x
2024-05-06,8,east,lateral annual,10.5,x
2024-05-06,8,east,lateral annual,3.2,x
2024-05-06,8,east,lateral annual,4.8,x
2024-05-06,9,east,pluriennial,18.8,x
2024-05-06,9,east,pluriennial,13.6,x
2024-05-06,9,east,pluriennial,17.5,x
2024-05-06,9,east,pluriennial,9,x
2024-05-06,10,east,apical annual,13.1,
2024-05-06,10,east,apical annual,13.2,
2024-05-06,10,east,apical annual,12.4,
2024-05-06,10,east,apical annual,13.1,
2024-05-06,11,east,lateral annual,10.2,x
2024-05-06,11,east,lateral annual,16.2,x
2024-05-06,11,east,lateral annual,11.9,x
2024-05-06,11,east,lateral annual,14.1,x
2024-05-06,12,east,pluriennial,14.6,x
2024-05-06,12,east,pluriennial,17.1,x
2024-05-06,12,east,pluriennial,16.1,x
2024-05-06,12,east,pluriennial,16.5,x
2024-05-06,12,east,pluriennial,12.3,x
2024-05-06,13,east,apical annual,14.8,x
2024-05-06,13,east,apical annual,13.3,x
2024-05-06,13,east,apical annual,13.5,x
2024-05-06,13,east,apical annual,13.4,x
